1	3.86926
2	4.63535
3	4.53199
4	4.45644
5	4.00724
6	3.87355
7	3.73058
8	3.74711
9	3.93973
10	4.1618
11	4.2423
12	4.25846
13	3.96203
14	3.89055
15	3.76585
16	3.77343
17	3.92493
18	4.21704
19	4.54882
20	4.56634
21	3.9612
22	3.85719
23	3.7439
24	3.78403
25	3.92369
26	3.98153
27	4.38466
28	4.65319
29	4.12983
30	3.94926
31	3.84682
32	3.80488
33	3.82297
34	3.85044
35	4.09399
36	4.45235
37	4.21309
38	3.94076
39	3.8346
40	3.746
41	3.77413
42	3.8525
43	4.10042
44	4.2491
45	4.27228
46	3.97328
47	3.84832
48	3.74367
49	3.73084
50	3.88836
51	4.15629
52	4.49351
53	4.46394
54	3.93862
55	3.78533
56	3.70148
57	3.71819
58	3.69456
59	3.93262
60	4.2723
61	4.24848
62	3.93377
63	3.80189
64	3.73192
65	3.69726
66	3.78077
67	3.87954
68	4.29978
69	4.27904
70	3.98226
71	3.88994
72	3.74751
73	3.73234
74	3.79547
75	3.94393
76	4.38946
77	4.46903
78	4.33026
79	3.86684
80	3.76223
81	3.72952
82	3.75274
83	3.92876
84	4.0399
85	4.35694
86	4.34074
87	3.92447
88	3.78359
89	3.72187
90	3.76231
91	3.86427
92	4.05144
93	4.16559
94	4.24483
95	3.91877
96	3.77723
97	3.6741
98	3.69112
99	3.81148
100	3.91902
101	4.244
102	4.38772
103	3.93647
104	3.83713
105	3.67194
106	3.69608
107	3.72054
108	3.91507
109	4.16142
110	4.25565
111	3.9696
112	3.79347
113	3.71363
114	3.64043
115	3.67308
116	3.79409
117	4.30152
118	4.26761
119	3.96491
120	3.80411
121	3.6927
122	3.67641
123	3.71625
124	3.89521
125	4.04726
126	4.33789
127	3.89473
128	3.8403
129	3.70728
130	3.68547
131	3.66604
132	3.86897
133	4.01328
134	4.38342
135	4.02303
136	3.86929
137	3.74455
138	3.65053
139	3.67892
140	3.84131
141	3.98787
142	4.12642
143	4.04568
144	3.9149
145	3.74302
146	3.6675
147	3.64401
148	3.66951
149	3.86341
150	4.17055
151	3.95423
152	3.9159
153	3.77947
154	3.63472
155	3.61753
156	3.67545
157	3.83301
158	4.06444
159	3.9138
160	3.90396
161	3.74964
162	3.62979
163	3.58544
164	3.68827
165	3.8042
172	3.67074
166	4.05952
167	4.29809
168	3.83076
169	3.77948
170	3.63968
173	3.82835
174	3.92016
175	3.88385
176	3.92881
177	3.7992
178	3.71387
179	3.65822
180	3.68377
181	3.75929
182	3.95057
183	4.03331
184	4.00379
185	3.86452
186	3.62799
187	3.57941
188	3.57883
189	3.76529
190	3.91025
191	3.93255
192	3.85087
193	3.82519
194	3.65492
195	3.54412
196	3.53008
197	3.6419
198	3.87597
199	4.22
200	4.20608
201	3.92436
202	3.77564
203	3.6368
204	3.5828
205	3.65168
206	3.77551
207	3.95607
208	3.87847
209	3.86903
210	3.70178
211	3.57819
212	3.55121
213	3.63966
214	3.7921
215	4.03818
216	4.08933
217	3.83921
218	3.6966
219	3.58359
220	3.61662
221	3.63072
222	3.77907
223	3.83
224	4.28099
225	4.06225
226	3.73804
227	3.6093
228	3.52397
229	3.62022
230	3.74522
231	4.03745
232	4.11512
233	4.09811
234	3.80627
235	3.65313
236	3.50104
237	3.53042
238	3.6717
239	3.81441
240	4.24885
241	4.12285
242	3.82252
243	3.62325
244	3.54442
245	3.52723
246	3.67657
247	3.88176
248	3.85494
249	3.83051
250	3.83899
251	3.708
252	3.54227
253	3.50711
254	3.62317
255	3.72461
256	3.72048
257	3.83339
258	3.80973
259	3.64173
260	3.52002
261	3.4945
262	3.58633
263	3.70785
264	3.84924
265	3.83622
266	3.75983
267	3.69936
268	3.5861
269	3.52365
270	3.534
271	3.73234
272	3.81295
273	3.77948
274	3.84358
275	3.71923
276	3.60019
277	3.54827
278	3.54916
279	3.72454
280	3.8066
281	3.83099
282	3.79869
283	3.77035
284	3.62631
285	3.51751
286	3.49433
287	3.63948
288	3.81283
289	3.86959
290	3.7986
291	3.80755
292	3.66633
293	3.53687
294	3.56911
295	3.69052
296	3.83479
297	3.82046
298	3.99203
299	3.85865
300	3.68591

